,date_time,temp_f,temp_c,dew_point,relative_humidity,wind_speed,visibility,pressure,weather,month
0,2012-01-01 00:00:00,28.759999999999998,-1.8,-3.9,86,4,8.0,101.24,Fog,1
1,2012-01-01 01:00:00,28.759999999999998,-1.8,-3.7,87,4,8.0,101.24,Fog,1
2,2012-01-01 02:00:00,28.759999999999998,-1.8,-3.4,89,7,4.0,101.26,"Freezing Drizzle,Fog",1
3,2012-01-01 03:00:00,29.3,-1.5,-3.2,88,6,4.0,101.27,"Freezing Drizzle,Fog",1
4,2012-01-01 04:00:00,29.3,-1.5,-3.3,88,7,4.8,101.23,Fog,1
5,2012-01-01 05:00:00,29.48,-1.4,-3.3,87,9,6.4,101.27,Fog,1
6,2012-01-01 06:00:00,29.3,-1.5,-3.1,89,7,6.4,101.29,Fog,1
7,2012-01-01 07:00:00,29.48,-1.4,-3.6,85,7,8.0,101.26,Fog,1
8,2012-01-01 08:00:00,29.48,-1.4,-3.6,85,9,8.0,101.23,Fog,1
9,2012-01-01 09:00:00,29.66,-1.3,-3.1,88,15,4.0,101.2,Fog,1
10,2012-01-01 10:00:00,30.2,-1.0,-2.3,91,9,1.2,101.15,Fog,1
11,2012-01-01 11:00:00,31.1,-0.5,-2.1,89,7,4.0,100.98,Fog,1
12,2012-01-01 12:00:00,31.64,-0.2,-2.0,88,9,4.8,100.79,Fog,1
13,2012-01-01 13:00:00,32.36,0.2,-1.7,87,13,4.8,100.58,Fog,1
14,2012-01-01 14:00:00,33.44,0.8,-1.1,87,20,4.8,100.31,Fog,1
15,2012-01-01 15:00:00,35.24,1.8,-0.4,85,22,6.4,100.07,Fog,1
16,2012-01-01 16:00:00,36.68,2.6,-0.2,82,13,12.9,99.93,Mostly Cloudy,1
17,2012-01-01 17:00:00,37.4,3.0,0.0,81,13,16.1,99.81,Cloudy,1
18,2012-01-01 18:00:00,38.84,3.8,1.0,82,15,12.9,99.74,Rain,1
19,2012-01-01 19:00:00,37.58,3.1,1.3,88,15,12.9,99.68,Rain,1
20,2012-01-01 20:00:00,37.76,3.2,1.3,87,19,25.0,99.5,Cloudy,1
21,2012-01-01 21:00:00,39.2,4.0,1.7,85,20,25.0,99.39,Cloudy,1
22,2012-01-01 22:00:00,39.92,4.4,1.9,84,24,19.3,99.32,Rain Showers,1
23,2012-01-01 23:00:00,41.54,5.3,2.0,79,30,25.0,99.31,Cloudy,1
24,2012-01-02 00:00:00,41.36,5.2,1.5,77,35,25.0,99.26,Rain Showers,1
25,2012-01-02 01:00:00,40.28,4.6,0.0,72,39,25.0,99.26,Cloudy,1
26,2012-01-02 02:00:00,39.019999999999996,3.9,-0.9,71,32,25.0,99.26,Mostly Cloudy,1
27,2012-01-02 03:00:00,38.66,3.7,-1.5,69,33,25.0,99.3,Mostly Cloudy,1
28,2012-01-02 04:00:00,37.22,2.9,-2.3,69,32,25.0,99.26,Mostly Cloudy,1
29,2012-01-02 05:00:00,36.68,2.6,-2.3,70,32,25.0,99.21,Mostly Cloudy,1
30,2012-01-02 06:00:00,36.14,2.3,-2.6,70,26,25.0,99.18,Mostly Cloudy,1
31,2012-01-02 07:00:00,35.6,2.0,-2.9,70,33,25.0,99.14,Mostly Cloudy,1
32,2012-01-02 08:00:00,35.42,1.9,-3.3,68,39,24.1,99.14,Mostly Cloudy,1
33,2012-01-02 09:00:00,35.24,1.8,-3.7,67,44,24.1,99.14,Mostly Cloudy,1
34,2012-01-02 10:00:00,34.7,1.5,-4.1,66,43,24.1,99.18,Mostly Cloudy,1
35,2012-01-02 11:00:00,35.96,2.2,-3.5,66,30,24.1,99.19,Mostly Cloudy,1
36,2012-01-02 12:00:00,35.06,1.7,-6.2,56,48,24.1,99.21,Mainly Clear,1
37,2012-01-02 13:00:00,33.98,1.1,-6.5,57,37,24.1,99.27,Mostly Cloudy,1
38,2012-01-02 14:00:00,33.98,1.1,-6.8,56,33,24.1,99.33,Mostly Cloudy,1
39,2012-01-02 15:00:00,32.0,0.0,-7.0,59,33,24.1,99.41,Mostly Cloudy,1
40,2012-01-02 16:00:00,30.74,-0.7,-8.7,55,24,24.1,99.5,Mostly Cloudy,1
41,2012-01-02 17:00:00,28.22,-2.1,-9.5,57,22,25.0,99.66,Snow Showers,1
42,2012-01-02 18:00:00,24.62,-4.1,-11.4,57,28,25.0,99.86,Mostly Cloudy,1
43,2012-01-02 19:00:00,23.36,-4.8,-12.1,57,24,25.0,100.0,Mostly Cloudy,1
44,2012-01-02 20:00:00,21.92,-5.6,-13.4,54,24,25.0,100.07,Snow Showers,1
45,2012-01-02 21:00:00,21.560000000000002,-5.8,-12.8,58,26,25.0,100.15,Snow Showers,1
46,2012-01-02 22:00:00,19.4,-7.0,-14.7,54,20,25.0,100.26,Cloudy,1
47,2012-01-02 23:00:00,18.68,-7.4,-14.1,59,17,19.3,100.27,Snow Showers,1
48,2012-01-03 00:00:00,15.8,-9.0,-16.0,57,28,25.0,100.35,Snow Showers,1
49,2012-01-03 01:00:00,14.54,-9.7,-17.2,54,20,25.0,100.43,Cloudy,1
50,2012-01-03 02:00:00,13.099999999999998,-10.5,-15.8,65,22,12.9,100.53,Snow Showers,1
51,2012-01-03 03:00:00,11.659999999999997,-11.3,-18.7,54,33,25.0,100.61,Snow Showers,1
52,2012-01-03 04:00:00,9.32,-12.6,-20.1,53,24,25.0,100.68,Cloudy,1
53,2012-01-03 05:00:00,8.779999999999998,-12.9,-19.1,60,22,25.0,100.76,Snow Showers,1
54,2012-01-03 06:00:00,8.059999999999999,-13.3,-19.3,61,19,25.0,100.85,Snow Showers,1
55,2012-01-03 07:00:00,6.800000000000001,-14.0,-19.5,63,19,25.0,100.95,Snow,1
56,2012-01-03 08:00:00,5.359999999999999,-14.8,-21.3,58,26,24.1,101.07,Mostly Cloudy,1
57,2012-01-03 09:00:00,5.0,-15.0,-21.9,56,19,24.1,101.2,Mostly Cloudy,1
58,2012-01-03 10:00:00,4.459999999999997,-15.3,-22.2,56,24,24.1,101.29,Cloudy,1
59,2012-01-03 11:00:00,5.18,-14.9,-22.2,54,22,24.1,101.33,Mostly Cloudy,1
60,2012-01-03 12:00:00,5.18,-14.9,-22.6,52,20,24.1,101.34,Mainly Clear,1
61,2012-01-03 13:00:00,4.82,-15.1,-22.4,54,22,24.1,101.34,Mainly Clear,1
62,2012-01-03 14:00:00,5.18,-14.9,-22.9,50,22,24.1,101.38,Mainly Clear,1
63,2012-01-03 15:00:00,5.359999999999999,-14.8,-22.2,53,19,24.1,101.44,Mainly Clear,1
64,2012-01-03 16:00:00,4.459999999999997,-15.3,-22.9,52,22,24.1,101.51,Mainly Clear,1
65,2012-01-03 17:00:00,3.5599999999999987,-15.8,-23.2,53,22,24.1,101.58,Mainly Clear,1
66,2012-01-03 18:00:00,2.6599999999999966,-16.3,-23.8,52,24,25.0,101.64,Mainly Clear,1
67,2012-01-03 19:00:00,1.5800000000000018,-16.9,-24.8,50,24,25.0,101.74,Clear,1
68,2012-01-03 20:00:00,0.8599999999999994,-17.3,-25.4,49,24,25.0,101.82,Mainly Clear,1
69,2012-01-03 21:00:00,1.3999999999999986,-17.0,-24.6,52,15,25.0,101.86,Mostly Cloudy,1
70,2012-01-03 22:00:00,1.2199999999999953,-17.1,-24.6,52,20,25.0,101.86,Mostly Cloudy,1
71,2012-01-03 23:00:00,0.8599999999999994,-17.3,-24.2,55,17,25.0,101.87,Mostly Cloudy,1
72,2012-01-04 00:00:00,0.5,-17.5,-24.2,56,13,25.0,101.88,Mostly Cloudy,1
73,2012-01-04 01:00:00,-0.21999999999999886,-17.9,-24.1,58,11,25.0,101.86,Mainly Clear,1
74,2012-01-04 02:00:00,-0.5800000000000054,-18.1,-23.8,61,15,25.0,101.89,Mainly Clear,1
75,2012-01-04 03:00:00,-1.3000000000000043,-18.5,-24.6,59,13,25.0,101.88,Mainly Clear,1
76,2012-01-04 04:00:00,-1.3000000000000043,-18.5,-24.6,59,13,25.0,101.82,Mainly Clear,1
77,2012-01-04 05:00:00,-1.480000000000004,-18.6,-24.0,62,9,25.0,101.77,Mainly Clear,1
78,2012-01-04 06:00:00,-1.3000000000000043,-18.5,-24.1,61,11,25.0,101.74,Cloudy,1
79,2012-01-04 07:00:00,-0.759999999999998,-18.2,-24.1,60,11,25.0,101.75,Cloudy,1
80,2012-01-04 08:00:00,-0.03999999999999915,-17.8,-24.2,57,17,24.1,101.73,Mostly Cloudy,1
81,2012-01-04 09:00:00,1.759999999999998,-16.8,-22.5,61,9,24.1,101.68,Mostly Cloudy,1
82,2012-01-04 10:00:00,4.640000000000001,-15.2,-20.6,63,7,24.1,101.54,Mostly Cloudy,1
83,2012-01-04 11:00:00,6.440000000000001,-14.2,-21.1,56,13,24.1,101.41,Mostly Cloudy,1
84,2012-01-04 12:00:00,7.34,-13.7,-21.7,51,11,24.1,101.25,Snow,1
85,2012-01-04 13:00:00,9.68,-12.4,-20.1,53,11,24.1,101.07,Cloudy,1
86,2012-01-04 14:00:00,11.659999999999997,-11.3,-19.0,53,7,19.3,100.97,Snow,1
87,2012-01-04 15:00:00,13.64,-10.2,-16.3,61,11,9.7,100.89,Snow,1
88,2012-01-04 16:00:00,15.079999999999998,-9.4,-15.5,61,13,19.3,100.79,Snow,1
89,2012-01-04 17:00:00,15.98,-8.9,-13.2,71,9,4.8,100.76,Snow,1
90,2012-01-04 18:00:00,15.98,-8.9,-12.6,75,11,9.7,100.69,Snow,1
91,2012-01-04 19:00:00,16.88,-8.4,-12.7,71,9,16.1,100.65,Snow,1
92,2012-01-04 20:00:00,17.96,-7.8,-12.1,71,9,16.1,100.61,Snow,1
93,2012-01-04 21:00:00,18.32,-7.6,-11.6,73,7,11.3,100.54,Snow,1
94,2012-01-04 22:00:00,14.899999999999999,-9.5,-12.7,77,6,9.7,100.5,Snow,1
